idiom_tokens,idiom_keywords,actual_idiom,English_translation
अंगारे बरस,burning coal,अँगारे बरसना,shower of embers
अँगारे बरस,burning coal,अँगारे बरसना,shower of embers
अंगारों पैर रख,burning coal,अंगारों पर पैर रखना,step on the coals
अंगारे सिर धरना,burning coal,अँगारे सिर पर धरना,sit on the embers head
अँगारे सिर धरना,burning coal,अँगारे सिर पर धरना,sit on the embers head
अंगूठा चूस,"suck, thumb",अँगूठा चूसना,thumb sucking
अंगूठा दिखा,thumb,अँगूठा दिखाना,To deny the promised thing after the work is finished.
अंगूठा नगी,"gem, ring",अँगूठी का नगीना,ring gem
अँगूठा चूस,"suck, thumb",अँगूठा चूसना,thumb sucking
अँगूठा दिखा,"show, thumb",अँगूठा दिखाना,To deny the promised thing after the work is finished.
अँगूठी नगी,"gem, ring",अँगूठी का नगीना,ring gem
अंग अंग फूले समा,,अंग अंग फूले न समाना,All parts of the body swell up
अंगद पैर,angad,अंगद का पैर,Angad's Foot
अंधी सरकार,Blind,अन्धी सरकार,Blind Government
अंधे लाठी,Blind,अन्धे की लाठी,the blind man's stick
अंधे लकड़ी,Blind,अन्धे की लकड़ी,blind wood
अंधे आगे रो,Blind,अन्धे के आगे रोना,crying in front of the blind
अम्बर तारे गिन,stars,अम्बर के तारे गिनना,count the stars in the amber
अंधे हाथ बटेर लग,"blind, quail",अन्धे के हाथ बटेर लगना,a blind man finds a quail
अंधों काना राजा,"king, blind",अन्धों में काना राजा,One-eyed king among the blind
अन्धी सरकार,Blind,अन्धी सरकार,Blind Government
अन्धे लाठी,Blind,अन्धे की लाठी,the blind man's stick
अन्धे लकड़ी,Blind,अन्धे की लकड़ी,blind wood
अन्धे आगे रो,Blind,अन्धे के आगे रोना,crying in front of the blind
अम्बर तारे गिन,stars,अम्बर के तारे गिनना,count the stars in the amber
अन्धे हाथ बटेर लग,"blind, quail",अन्धे के हाथ बटेर लगना,a blind man finds a quail
अन्धों काना राजा,"king, blind",अन्धों में काना राजा,One-eyed king among the blind
अकल घोड़े दौड़ा,horse,अक्ल के घोड़े दौड़ाना,To try to find out solution for a problem
अकल चरने जा,grass,अक्ल चरने जाना,to go for a walk
अकल पत्थर पड़ना,stone,अक्ल पर पत्थर पड़ना,to lose one's wits
अकल पीछे लाठी लिये फिर,,अक्ल के पीछे लाठी लिये फिरना,to wander about with a stick behind one's head
अकल अंधा,blind,अक्ल का अन्धा,a fool
अकल अन्धा,blind,अक्ल का अन्धा,a fool
अक्ल घोड़े दौड़ा,horse,अक्ल के घोड़े दौड़ाना,To try to find out solution for a problem
अक्ल चरने जा,grass,अक्ल चरने जाना,to go for a walk
